,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
STUID,1.0,-0.10604956198997677,-0.004694179903939723,0.0064961730878315286,-0.0019270618442528706,-0.17528879593805324,-0.08170165304633921,0.014584539771491881,0.012390559051589343,0.02357012112697629,0.030208235732338773,-0.0172319146185427,-0.027703594558656657,-0.02054193021589311,-0.012895626872932284,-0.006127738120009104,0.019216508265560324,-0.016194962054397872,-0.05393948465616589,-0.0070531744412728045,0.08663938661936303,0.01746938361469496,0.013105471740746449,1.3049959085194328e-05,0.030075987413783277,0.01727818050244419,0.025404700207284928,0.022242732294717307,0.025495534919088098,0.01339409214886996,0.020996481221909044,0.020871867435533438,-0.02642021025502167,0.05161644971459266,0.0034273532841063983,0.003609600251661097,-0.05110229145458166,-0.05936381352223138,-0.0010573253064871135,0.007673681319250876,-0.013207475824267373,-0.03723737867319247,-0.0008060396828936592,-0.014963667683769107,-0.004842991879719038,0.014466949048420583,0.008730544242639787,-0.05570018919125013,-0.034861961662424445,-0.004452675110472361,0.0015313184593971042,-0.05295485975681536,-0.04847970287911396,-0.0306086643226538,0.0056223998102863946,-0.010889884437673669,0.015490088788776921,0.037957976242667224,-0.24399185432257445,-0.006778419593529441,0.00816606265018128,0.09132292543998297,0.03382054501179116
District,-0.10604956198997677,1.0,0.008700235822514956,-0.05965711337089098,-0.013102567580585015,-0.08415457088949978,0.03314534551270346,0.005850641119683703,-0.027127983802090812,-0.052405400615651486,-0.03060230005394541,0.008972646217658038,0.048277442068067666,-0.050664976731105066,-0.030575442569311818,-0.033437918646111224,-0.10453659085973616,-0.03464244992135626,-0.030042794832412897,-0.007877333738078838,-0.1116783772445907,0.043955341246640266,-0.015779507825061042,-0.09552668496622752,0.03911139248803914,-0.019261127621561576,0.018212922064378287,0.03214015287842194,0.02640257089691262,-0.010418729541612007,0.009184946229852881,0.023686844309188278,-0.009644830413307794,-0.01484499376040142,-0.04035233879488251,-0.010571382826635068,-0.03664847367152177,0.04664621446389702,-0.006087721204427493,-0.027743662435945535,-0.01236138159813267,0.013331928823433776,0.015424917971419769,0.010161813640398672,-0.05140798908007246,-0.01995891460839192,0.00882783541361227,0.024388458981314247,0.02108158042554274,-0.022512142281561,-0.025172057864677893,-0.011115512446256193,0.00947416499208005,-0.005428512017980257,-0.07854945267695644,0.023735954181403583,0.003091688573214653,0.010919829004159894,0.03549709522608392,-0.027825870096378266,0.0037388823285988792,-0.07666511755575155,0.012653551692430735
Gender,-0.004694179903939723,0.008700235822514956,1.0,-0.054037335607427184,0.020457059130343562,-0.00152756972844425,0.07217807715126037,0.0064679520400197895,0.023309630253278354,0.023843788452759127,0.003989998236307333,-0.011986184229470594,0.011838709841661505,-0.05753989954964018,-0.02596799918527936,-0.0701522354190839,0.022086892684968475,0.04237504928364276,0.03165772232843824,-0.010507047133460548,-0.01910354463248434,0.012114381278980431,0.019265753257860257,-0.0058546928208978305,0.04201943636712486,0.032982680382933706,0.02554796994366427,0.02391097111505157,0.019865300653573986,0.014743167745643996,0.012804109330610393,0.01486781454362441,0.03318275230739676,-0.023241951750511154,-0.014631791997494143,0.0036864002343434147,0.017797290746385364,0.03746844099352866,0.03212925271294894,0.021463207295576856,-0.01562761443236108,0.043261887488068286,0.017168009864783854,0.022189239721875916,-0.011986779293380722,0.017404473485098253,0.026888180482792613,0.026904769496825943,0.028927445636983077,-0.005599137888117515,0.018793888483009565,0.005943498805558869,0.02435601761894629,0.0075073761474124924,0.008171984808099487,-0.001983180167791287,0.030930953751489243,-0.1057057774795221,0.053149695261843724,-0.02923482031379671,0.06349078829429648,-0.004899536351941917,0.03909767541402803
Age,0.0064961730878315286,-0.05965711337089098,-0.054037335607427184,1.0,-0.00322958121332602,0.10193697340298084,0.11362484731393953,0.017182418870662162,-0.038985743277616274,-0.04314281358321329,-0.014949085964799278,0.022759291372240833,0.025042767777172497,-0.015168441344305351,-0.03306231128474339,-0.011988056245983932,-0.0058480251315969735,0.018982386794082075,0.021577836372888376,0.011803762856369903,-0.010275424605299663,-0.025606504386598443,0.022175583273887578,0.0270637429272549,-0.03280901182597365,-0.010281774200199694,-0.020150072587860553,-0.030426650458758572,-0.01958121400044323,-0.005295886822586573,-0.016725871741884002,-0.017852006299661546,-0.035896731751696574,-0.049123206348354764,0.02619658333331765,-0.01648767740772209,0.022014134675895202,-0.021870977228116126,-0.013306744338059423,0.04784443317993736,-0.033924513409257874,-0.007607529964349192,-0.028953339814956437,-0.010871552103274777,0.032269016786363354,0.0040392050325288335,0.0035020200668669805,-0.0037489294232318404,0.005164319337843964,0.03453915203404726,-0.0032623883711713347,0.007676829383919876,-0.0056712737074019704,0.003755986063894648,0.028594752224976816,-0.0386922518689346,-0.033988669254815425,-0.0059184085750897605,0.07075918706012016,-0.005439691596691669,-0.03582593823337271,-0.010803598826389272,0.010793176172512062
Category,-0.0019270618442528706,-0.013102567580585015,0.020457059130343562,-0.00322958121332602,1.0,0.027592954474511402,-0.0686530817674114,0.08566579331771623,0.08312808286209249,0.07839684083299871,0.08523949734287795,-0.004178049937000491,-0.047163315115560524,0.07871151869999354,0.0670264358908148,0.05916667945529053,0.06784744341755858,0.037084546921129134,0.02382150341284065,0.027837010345539207,0.010071331902489385,0.028795328762827147,0.038533877802500956,0.017035804158600794,0.014069344127175866,0.04711219536072241,0.03213157757926358,0.02878708625432601,0.0054936202577771,0.032703907333166866,0.025941459215393557,0.021359451952801027,0.03499797113036145,0.06044232854530486,-0.03288097372925447,0.01704355262313208,0.007162862791511228,0.02907458486645356,0.021526928415852613,-0.006519564852861149,0.027287753448008926,0.03589626091484923,0.04055499861950198,0.034251321513390005,-0.004720788631947117,0.04242891029790806,0.038361070385816015,0.03632282483539276,0.03241096690077433,-0.01461706671704326,0.04832882489722467,0.023499021934245527,0.05163931575108623,0.035725209618921,0.0441044397654371,0.01665133187094611,0.022167777740988652,0.039312473227226516,0.04449910954087373,0.03840213778275883,0.06111957111467586,0.03678984590646044,0.04995167836565419
Same language,-0.17528879593805324,-0.08415457088949978,-0.00152756972844425,0.10193697340298084,0.027592954474511402,1.0,0.14874500157674098,0.10586854119301702,0.021244032504675874,0.00955402099539438,0.008567076796070758,0.08475481964718536,0.032892442523175205,0.008795706877214563,0.01142872494995014,0.026807944337904184,0.1042477830892497,0.04172456819698135,0.03456230715631419,0.006252399863364073,-0.08970732598399171,-0.0542871287765874,0.03449857829650882,0.07039192918954092,-0.044173347367521286,0.01630814115567424,-0.013140688089015203,-0.014120179136839814,-0.02495969904737918,0.015981258038687204,0.005334879814590568,-0.003134160136695518,-0.005950666571329632,-0.09967060893994897,-0.012159282052261737,-0.0323731794243909,0.09909841331112518,-0.0030106400467709515,0.01957653951301651,0.02682006693278382,-0.01616909740064494,0.05353624814691705,0.00859348528319475,0.02406294953648688,0.03331917771722584,0.020259935943580342,0.02947754502445316,0.0323656769052763,0.02510051329832056,0.034868889232798975,0.011288363617840556,-0.01590795502335994,0.027891575181272183,0.019112396208106217,0.008041505818130925,-0.033865725430209034,-0.03224669670256094,0.011564075577448632,0.124641676399736,0.00820785765791782,-0.04332395808588761,0.0343926848061318,0.028336886735531915
Siblings,-0.08170165304633921,0.03314534551270346,0.07217807715126037,0.11362484731393953,-0.0686530817674114,0.14874500157674098,1.0,0.006648523362027663,-0.09017028173598518,-0.17208366708951808,-0.03886350628848659,0.013126023867971685,0.0815131506775519,-0.06610539296229569,-0.06284446975899678,-0.057161041171321314,-0.07551796785693887,-0.01769644134247257,-0.018223863078941,-0.05755118168097005,-0.1692047492832646,-0.08416361440873288,-0.0003348514966919745,0.0068907834525498805,0.009640566467633945,-0.03246332130453879,0.004335334402056267,0.0028892766350073528,0.0035826535563770055,-0.023791132531432918,-0.0017355195863577343,-0.000762416783133735,-0.05369394801620166,-0.08250990049923952,0.04784000745571717,-0.07277998908563668,0.037777493367478696,-0.049923902579090525,-0.021342546661673213,0.054322177584204594,-0.05729076394868211,-0.017633835743389885,-0.0695779286857048,-0.05781819903924176,0.032195119889800415,-0.0044110012062615065,-0.014688396279497118,-0.0212686066001096,-0.015521071781779836,0.05179808192141068,-0.07630448224684543,-0.060153872049296536,-0.051000446235585764,-0.04858958245937729,-0.09197203274869437,-0.08790558300397318,-0.07696435730280472,-0.066081476390531,0.1227748939696272,-0.05283364087791153,-0.1131632689623574,-0.06306700162180308,-0.029642378847085184
Handicap,0.014584539771491881,0.005850641119683703,0.0064679520400197895,0.017182418870662162,0.08566579331771623,0.10586854119301702,0.006648523362027663,1.0,0.07786433122665243,0.06781973710985588,0.04053115073943007,0.028771701992527918,0.030723806896598316,0.058375672227358254,0.047906278827051486,0.0627821456573761,0.07343725892597561,0.0707632057590708,0.007110302828976479,0.015153203757806523,-0.013227440993008486,0.02964744204357451,0.08888152553248019,0.01125354528473043,0.0681869669496977,0.08974182843499053,0.08075028952562915,0.07601499692833137,0.06149953667419571,0.080215514491665,0.08040200757604589,0.07392134230968647,0.05128718697276501,0.007703490292525246,-0.07295215583562903,0.04048912631434745,0.0010751276673582769,0.08061507429309346,0.06683147974223419,-0.005720451232959166,0.007957969073845465,0.07067717441862349,0.07428483124596001,0.05634062223315839,-0.01885269530765213,0.10604056505562866,0.09665236454159808,0.06578473718815706,0.07145404554123405,-0.010282617385445494,0.08931284200593043,0.036068067782049906,0.08351948912919874,0.07449953925113842,0.07643454615503871,0.047962541801966546,0.06411213027018835,0.07088301681016047,0.040678121868379796,0.04390829902977934,0.08865142657343375,0.05473600709285543,0.05011681582116065
Father edu,0.012390559051589343,-0.027127983802090812,0.023309630253278354,-0.038985743277616274,0.08312808286209249,0.021244032504675874,-0.09017028173598518,0.07786433122665243,1.0,0.4895467922610559,0.2852857496923421,0.034165111647046685,-0.036074157351037764,0.11202374151387232,0.11063379313579477,0.08615704789295385,0.135624309014871,0.10907286823586568,0.10907042555062739,0.03352879635455899,0.02695641338462562,0.028331010777638787,0.05313191432156749,0.0487111343207183,-0.006848370635773052,0.04552293521954115,0.018090252557032532,0.016919750021666215,-0.005073887722580044,0.031966174358068936,0.016110747880412255,0.015652020134904167,0.11040819758450514,0.07563251479432735,-0.07271114986686554,0.014882446456811393,0.04684271969806771,0.044866164708497254,0.046716088750954426,-0.01829075242458769,0.037189829184764184,0.035793197647405336,0.05077431531076344,0.05931113323076763,-0.03336276931139682,0.058867138014216655,0.036255115488417186,0.03082346548414115,0.036854217595417245,-0.04461399033159398,0.05726114344805374,0.023818466169386324,0.051084300038576384,0.047269878613448287,0.07900372557931971,0.08981928696976633,0.057509665366255076,0.03784297312293249,0.0343253379270677,0.06304200658780738,0.14547235313346665,0.06844480833765641,0.0877338626291054
Mother edu,0.02357012112697629,-0.052405400615651486,0.023843788452759127,-0.04314281358321329,0.07839684083299871,0.00955402099539438,-0.17208366708951808,0.06781973710985588,0.4895467922610559,1.0,0.1796712599258605,0.1325575299414276,-0.04233012130098481,0.13089279111967644,0.13164918440541984,0.107761101072745,0.17631822605022518,0.10963755755163777,0.12392126958925447,0.04073590848257307,0.10302806285734048,0.05870322604961824,0.048346804713935716,0.035289106329993616,0.006765489218992916,0.06401345287975625,0.026880284728202135,0.036882793639909144,0.011465432679591268,0.05588892201592294,0.03397943114022455,0.040225078795740034,0.10937933040675658,0.05934205636058445,-0.0844986682184658,0.058452222777543826,0.045070383912344754,0.06861681261446462,0.06971509606035987,-0.02910868611524306,0.06241555105474921,0.0524249487801132,0.08119368870851927,0.09188899564925163,-0.028709707872869077,0.06627224124692963,0.0512820629126966,0.05255720815750084,0.053472207979267064,-0.045184624790644785,0.09583537229987393,0.05428425297036649,0.07605887735717562,0.06982865574299663,0.09816072447498043,0.12439413227394003,0.09299220056016172,0.04839491080295566,0.005853245574867364,0.06508780239723778,0.1556109697146644,0.07327295877020279,0.05884702467257205
