,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
STUID,1.0,-0.032573670191489004,0.0005106863481467342,0.007267989309957212,-0.01884761141110231,-0.20059235255453575,-0.07208863808115516,0.004272103567641118,0.004443109754102098,-0.00025060110798360365,0.02621887506956367,-0.020228574164892276,-0.014553965939845252,-0.04291788770393754,-0.044050307887015853,-0.0061937934052903754,-0.01524238449783963,-0.06116941574182804,-0.01286876670388125,0.06831565250882211,0.0041929669398722775,0.015682802366114988,0.035726719364517504,0.011985016492380665,0.01717952827105999,0.014577622440686529,0.026992398718129366,0.008636767555825558,0.013557333198726339,0.012059646683226396,-0.03091089938657342,0.03664073492727753,0.015015960736904442,-0.012385129994176418,-0.03868477407808591,-0.05574276444500692,-0.008257370838106124,0.005770267763609765,-0.014998575591827564,-0.050012766981349446,-0.018775074525836103,-0.03319035599546503,-0.01145353145022455,0.019921864645068045,0.01441385359071293,-0.05661960755886989,-0.03423987898132368,-0.005930023747756399,-0.00016078060792767377,-0.06294362968762911,-0.04777748094890228,-0.03430276586857474,0.002327924689824746,-0.02407402191239989,0.0008694233822798309,0.038447472578152536,-0.219520975327621,0.05826923763389408,0.02646177085029142,0.055972266288077915,0.019506095908341615
District,-0.032573670191489004,1.0,0.0129364736419998,-0.06111668602804071,-0.005513877163487164,-0.08364554893735318,0.06445003737827089,0.013270692172296256,-0.016199754577051768,-0.056330817735447666,-0.030645624772903557,-0.0025218551657944983,0.05050139242494613,-0.046445180152421016,-0.007737636890577067,-0.08101557437380699,-0.024758175268329526,-0.02046063580528372,-0.016819814091779108,-0.12807174152742012,0.05314504774878666,-0.014364628891803921,0.04864899392444752,-0.004454307990327372,0.030142673480415143,0.042423432064110034,0.04247070690540235,0.00484845741818528,0.022083980420193394,0.03506411781849543,-0.010983808205460403,-0.015735246030558914,-0.05597330951237485,-0.011616075774418285,-0.030088923333125767,0.03737926978175683,-0.0027501787588676777,-0.022213154468865688,-0.0238247556965536,0.019651412807977903,0.009190131817766439,0.0037795295987210526,-0.04285701851265122,-0.0009655469697731747,0.010327998304622244,0.033531634734845564,0.029229366588574782,-0.010238689350240679,-0.039748662274397474,-0.025328409091683747,0.01697062693182276,-0.006366246518437634,-0.09038591437604632,0.01526335667327391,0.008440254778232188,0.0053475027319261695,0.035238239860783435,0.0570185156740873,0.018801100624634682,-0.01992622448900419,0.037370069523304704
Gender,0.0005106863481467342,0.0129364736419998,1.0,-0.05742614900928347,0.02371815773283707,-0.0009304827574676338,0.0668130712297582,0.006434700877927768,0.032404217692948094,0.03421131815583923,0.009998478009214395,-0.0040541447171759904,0.008137505804884228,-0.05322630568427546,-0.06664038489174728,0.019122781631780748,0.03227357921106949,0.023844869446103655,-0.013338766989609169,-0.018578920001785973,0.012010064487008632,0.018685761203443632,0.03648903609265799,0.03076476660436405,0.021995467981292784,0.023480428414835056,0.016648028239281076,0.013624910291629409,0.012042478474803607,0.014262521194684834,0.02777304529929667,-0.019367451763902886,-0.020739255013877706,-0.00374033309381075,0.011684352147368217,0.026971204693115966,0.021548060159300896,0.019798739513963767,-0.02031632781572094,0.030498863284090683,0.00825709827839559,0.013774708423864659,-0.010391462627779811,0.014705654063111754,0.02160668646394421,0.026282015218081118,0.02043011036519765,-0.0021296448074966897,0.016189561616190673,0.0021078446428170806,0.021687821661547025,0.0036481893867786174,0.007689611881365451,-0.008302399314548257,0.025289776574400357,-0.10376918444798235,0.046284440062522636,0.003654271956632262,0.04588771996342304,0.002962094207536392,0.01797941447141494
Age,0.007267989309957212,-0.06111668602804071,-0.05742614900928347,1.0,-0.010543601740242048,0.09427084340901756,0.1057349825641504,0.018803433370324033,-0.05158578139262437,-0.04544306182277206,-0.027632079124978868,0.022318291408497774,0.02645438121305798,-0.021310431130222542,-0.015298772743352796,-0.009537521654144223,0.006628794898716834,0.002161963936087039,0.004260066228187542,-0.006399416156581696,-0.020709106206417,0.02970042210670574,-0.02477287839500769,-0.007856172257562693,-0.018086713485382752,-0.023546597540065363,-0.014129723472573533,-0.00723581092491321,-0.014039905402819306,-0.016112521296119845,-0.03841453594773057,-0.05584422422412522,0.028073468284607953,-0.015295886449578834,0.018377377375983866,-0.021956119311767535,-0.013062705031203142,0.047406040451936124,-0.028621776019803664,-0.0041363198672582455,-0.03060470471944005,-0.01867483288074823,0.02974466194362217,-0.00271526490636242,0.002189869701414157,-0.0022650790231642528,-0.0002967336814973002,0.035850768972620906,-0.0032101385344061274,0.004739640044655903,-0.00826900238060346,0.002437186597573342,0.03034641842500929,-0.041659010020713684,-0.0323898081370124,-0.0042780841901646416,0.062173940876559156,-0.035907329753545394,-0.04614537387217924,-0.03171954567577921,-0.023236976381542984
Category,-0.01884761141110231,-0.005513877163487164,0.02371815773283707,-0.010543601740242048,1.0,0.023878629204444522,-0.07622381593620046,0.09109054526323322,0.10306653878401602,0.09501757772259595,0.09825589976277882,0.0017742146880156556,-0.05058560672758854,0.07993590755243933,0.052250550585252,0.07884344787882273,0.046984311110953414,0.03520589870439833,0.027429262927320338,0.006890334741104778,0.026819506979460256,0.03856510462116059,0.008569677278883693,0.042655238992613004,0.02817821705023526,0.025217851299623995,-0.0004591633986276964,0.02804595463904116,0.02025044537100448,0.01768552456550612,0.046277956712726824,0.0687232387020883,-0.03695577908656426,0.02506579103490689,0.017808276458668875,0.039837779524893216,0.024856418162807408,-0.024869045981015518,0.03804155526188758,0.03221018893763891,0.049652404707744305,0.04956496508882731,-0.007010654031262585,0.044409136811923974,0.04579574777475484,0.044402152513292645,0.04593521674458139,-0.025043904981091374,0.05654218544518326,0.027010451288809953,0.05699937127936179,0.05045757578228092,0.03752425556467915,0.031220488259502764,0.02307088162637681,0.044282331877965896,0.039369889453441866,0.040168535878294116,0.09108415413254409,0.07871267753482819,0.06964239733804185
Same language,-0.20059235255453575,-0.08364554893735318,-0.0009304827574676338,0.09427084340901756,0.023878629204444522,1.0,0.1484931718250033,0.09727903121018644,0.0172222145565936,0.024715380677332827,0.005629081174921797,0.09671710851707618,0.028648858085455108,0.009315153981943915,0.035573410928243385,0.09857664515418556,0.03974185609896283,0.03594495301007132,0.004034666336871489,-0.07625308762428883,-0.04677390344212419,0.035180103965752337,-0.041553471566252,0.014860769709800903,-0.0123743508274458,-0.012121540940539981,-0.020834148895689332,0.014231365925115425,-0.0018192707576951232,-0.0034115530113890615,-0.00045238720465765465,-0.10093312461561486,-0.016518685370827978,-0.015048619287623398,0.09101423467452209,0.009621130313845568,0.029477384692104723,0.028686452494096543,-0.015297512215780129,0.06329871061220514,0.014815535080315847,0.028998301835384974,0.039746014068510485,0.020892666289853458,0.028692425359433275,0.03089488096603588,0.027036552890931907,0.03977742307162541,0.015363817979885582,-0.013653475010638589,0.024316379543876818,0.016836494975043324,0.004249861215872093,-0.014975575598030153,-0.02645728691739155,0.0029402215310008863,0.10936879670245576,-0.007851487316509396,-0.03613226799494463,0.00979856820827755,0.014443126740854935
Siblings,-0.07208863808115516,0.06445003737827089,0.0668130712297582,0.1057349825641504,-0.07622381593620046,0.1484931718250033,1.0,0.008392835132806881,-0.10891266839025321,-0.1853705466475094,-0.05944161052936662,0.010127957329474142,0.09474064281773263,-0.0752094301295849,-0.060474527860534616,-0.08331743939597892,-0.034860471866762506,-0.04009391544986993,-0.071999671600952,-0.19072364262600341,-0.07386228749817089,-0.006908270312197426,0.030517875842575558,-0.020960726147387525,0.024578374056455715,0.02403220809012566,0.029562529060918403,-0.010484845088262544,0.01681261392724529,0.019924368735652082,-0.05614336164493599,-0.08936139591000998,0.0485720646379536,-0.07429802475369963,0.04060008938158193,-0.0475779710580034,-0.024434717376040447,0.0672182570513899,-0.06568512181865911,-0.006062207749066681,-0.07608567119831308,-0.06402758547721846,0.03581581118735955,-0.003334379605065713,-0.0166717294966365,-0.01600935210903684,-0.018916233963610436,0.06905913239778458,-0.08492445374500812,-0.06490161414241022,-0.050430198581304625,-0.05585783885020742,-0.11015954055449731,-0.09118740076366978,-0.07113779728232088,-0.061372409698318864,0.11609473935430548,0.033935745189210054,-0.13013650255276157,-0.05050851047311201,-0.006860849444308505
Handicap,0.004272103567641118,0.013270692172296256,0.006434700877927768,0.018803433370324033,0.09109054526323322,0.09727903121018644,0.008392835132806881,1.0,0.07895197337433535,0.06617647062756177,0.05352436999047354,0.03210560204797052,0.028567205532938005,0.05695732582887846,0.06055309198339363,0.07406090039536675,0.06273632470066669,0.016419777385967824,0.016984819736724485,-0.01127348701739904,0.03677684408281902,0.08351171647238168,0.06193096895142115,0.08659255947465008,0.07333359682432565,0.07162149284366527,0.05510553316480894,0.07676780297274852,0.07104219308724084,0.06862868166082645,0.055379305726110786,0.017473001055615656,-0.07103592112684697,0.03715419591509391,0.0034697497709553706,0.07757598638049458,0.05986628943887328,-0.01123016661330188,0.01275449435881377,0.0637367185506986,0.06923564267202675,0.05319614958228519,-0.018529279797274104,0.09902386905204023,0.088796234325175,0.06832571217697055,0.06637823738143746,-0.015829083265587345,0.0832936119651305,0.028576641166286273,0.07655302169617696,0.06655758396795061,0.0620063073639064,0.045673474034775376,0.052803070538723434,0.061928099940705195,0.03872554157299474,0.040576432751828546,0.08853804042274593,0.06269894734968012,0.06143544214173427
Father edu,0.004443109754102098,-0.016199754577051768,0.032404217692948094,-0.05158578139262437,0.10306653878401602,0.0172222145565936,-0.10891266839025321,0.07895197337433535,1.0,0.504834467300169,0.3062868940074119,0.04806015043829123,-0.052182195638481595,0.1243799277940195,0.09863741777850178,0.15375899217597655,0.12494235527436891,0.1322660698988351,0.03756762766534616,0.03431310137016168,0.03169524690797398,0.055441259097083945,-0.013185833682782878,0.04946036270199489,0.018906356930717277,0.015147503237465196,-0.0112614020211706,0.03723603666742554,0.01882825666200294,0.015384993947520235,0.11725912831488766,0.09039641524568558,-0.08776943868127232,0.018283465918616418,0.04461014600839284,0.05293522630329957,0.051917074798655115,-0.04716365735104586,0.045430582673048926,0.028531331019669374,0.0606073101637263,0.06844000292005287,-0.03953307775885611,0.06850942241683419,0.046214413737897864,0.03521934197171235,0.048171155964301784,-0.05845739253668716,0.06459555417165064,0.02324961880426368,0.051850711666117225,0.05852808402571906,0.08146744473857673,0.10404435538102796,0.06290341403836201,0.03862796042769604,0.0345929899885427,0.07207250750623921,0.1856389181078514,0.11532225902482249,0.10733758768557612
Mother edu,-0.00025060110798360365,-0.056330817735447666,0.03421131815583923,-0.04544306182277206,0.09501757772259595,0.024715380677332827,-0.1853705466475094,0.06617647062756177,0.504834467300169,1.0,0.20177601905983994,0.15577629744050728,-0.0548871199332601,0.14439355121749117,0.12372563483079324,0.18378442925292082,0.12294207788902212,0.1440883155723572,0.046567742493573684,0.11898600057173393,0.06329025267196717,0.052504202507075354,-0.0057992575790872195,0.06499736742594243,0.020381027766951082,0.03038256878849107,-0.0038565196061947225,0.05038307871728871,0.02376268567849818,0.029947550229952213,0.10982417419218933,0.06296520728340561,-0.0946669321316281,0.06431498156778648,0.03993459922433616,0.0740399515598676,0.07850742880786021,-0.05000512924799572,0.0656029878252091,0.049817777414197,0.09074771022534789,0.10305829808309928,-0.033728555451664276,0.07060184455858631,0.057360528951575056,0.0524475051203442,0.06145072727088329,-0.05601724634615633,0.101981347622039,0.06147138268361369,0.0752746379170304,0.08247867380936177,0.10771458124788721,0.13690957562318792,0.0894163210735196,0.04685284623982875,0.010796850943622854,0.036049672164752224,0.18817828433514802,0.10354998478614161,0.09054233278598253
